1031201,1600,1.2034,1.204,1.1944,1.1965
1031202,1600,1.1961,1.2109,1.1946,1.2089
1031203,1600,1.209,1.213,1.2077,1.2123
1031204,1600,1.212,1.2144,1.2044,1.2081
1031205,1600,1.2078,1.2191,1.2066,1.2187
1031208,1600,1.2168,1.224,1.2154,1.222
1031209,1600,1.2221,1.2277,1.2198,1.225
1031210,1600,1.2249,1.2266,1.2162,1.2191
1031211,1600,1.2191,1.2235,1.2123,1.2224
1031212,1600,1.2227,1.2306,1.2213,1.2279
1031215,1600,1.2187,1.2325,1.2178,1.232
1031216,1600,1.2314,1.2359,1.2305,1.2322
1031217,1600,1.232,1.242,1.23,1.2402
1031218,1600,1.2402,1.2442,1.2366,1.2423
1031219,1600,1.2422,1.2435,1.2351,1.2385
1031222,1600,1.2357,1.2446,1.2357,1.2399
1031223,1600,1.2399,1.2672,1.2388,1.24
1031224,1600,1.2401,1.2472,1.24,1.2453
1031225,1600,1.2457,1.247,1.2443,1.2448
1031226,1600,1.245,1.2471,1.2427,1.2432
1031229,1600,1.2434,1.2508,1.243,1.2484
1031230,1600,1.2486,1.2563,1.2483,1.2549
1031231,1600,1.255,1.2649,1.253,1.259
1040101,1600,1.259,1.2608,1.2474,1.2582
1040102,1600,1.2582,1.2628,1.2527,1.2582
1040105,1600,1.2639,1.2694,1.2637,1.2687
1040106,1600,1.2689,1.2808,1.2672,1.2721
1040107,1600,1.2724,1.274,1.2625,1.2641
1040108,1600,1.2641,1.2787,1.2565,1.2775
1040109,1600,1.2775,1.2867,1.2713,1.2859
1040112,1600,1.2848,1.2897,1.2738,1.2741
1040113,1600,1.2744,1.2797,1.2719,1.2786
1040114,1600,1.2788,1.2788,1.2406,1.2651
1040115,1600,1.2656,1.2671,1.2569,1.2601
1040116,1600,1.26,1.261,1.2364,1.2398
1040119,1600,1.2387,1.2424,1.234,1.2354
1040120,1600,1.2351,1.2602,1.235,1.2589
1040121,1600,1.2581,1.267,1.2566,1.2659
1040122,1600,1.2658,1.2749,1.2645,1.2725
1040123,1600,1.2724,1.2776,1.257,1.2583
1040126,1600,1.2575,1.2611,1.2461,1.2488
1040127,1600,1.2486,1.266,1.2447,1.2637
1040128,1600,1.2634,1.2644,1.242,1.2442
1040129,1600,1.2441,1.2527,1.2371,1.241
1040130,1600,1.241,1.2485,1.2355,1.2468
1040202,1600,1.2476,1.2482,1.2396,1.2433
1040203,1600,1.2538,1.2561,1.2505,1.2535
1040204,1600,1.2546,1.2561,1.2505,1.254
1040205,1600,1.2538,1.2636,1.2524,1.2572
1040206,1600,1.257,1.2726,1.2519,1.27
1040209,1600,1.2655,1.2757,1.2655,1.2694
1040210,1600,1.2693,1.2787,1.2674,1.2685
1040211,1600,1.2683,1.2847,1.2658,1.283
1040212,1600,1.2833,1.2847,1.2796,1.2818
1040213,1600,1.2817,1.289,1.2725,1.2728
1040216,1600,1.273,1.279,1.2722,1.2765
1040217,1600,1.2764,1.2878,1.2763,1.2858
1040218,1600,1.2863,1.2922,1.2666,1.2725
1040219,1600,1.2729,1.2767,1.266,1.2757
1040220,1600,1.2758,1.2761,1.2503,1.2542
1040223,1600,1.2501,1.2594,1.2457,1.2572
1040224,1600,1.2572,1.2711,1.2529,1.2678
1040225,1600,1.2679,1.2704,1.2484,1.2497
1040226,1600,1.2501,1.2518,1.2397,1.2448
1040227,1600,1.2448,1.2507,1.2381,1.2494
1040301,1600,1.2539,1.2541,1.243,1.2448
1040302,1600,1.245,1.245,1.2203,1.2204
1040303,1600,1.2202,1.222,1.2069,1.2191
1040304,1600,1.2194,1.2241,1.2143,1.2207
1040305,1600,1.2205,1.2427,1.218,1.2368
1040308,1600,1.2365,1.2426,1.2346,1.2426
1040309,1600,1.2426,1.2464,1.2287,1.2319
